*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****          SMIC Interconnect Capacitance Table         ************
***********************************************************************

Process: 	0.18um 1P6M Logic Low Leakage Salicide, Dual Voltage (1.8V/5V)
Version: 	1.3
Date: 		2007-06-21
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.32E-01	2.63E-02	1.11E-02	9.68E-02	7.59E-03
0.280	0.280	2.21E-01	2.70E-02	1.11E-02	9.09E-02	7.97E-03
0.280	0.380	1.82E-01	3.07E-02	1.11E-02	7.02E-02	9.79E-03
0.280	0.480	1.59E-01	3.42E-02	1.11E-02	5.74E-02	1.15E-02
0.280	0.580	1.44E-01	3.75E-02	1.11E-02	4.86E-02	1.32E-02
0.280	0.680	1.34E-01	4.06E-02	1.11E-02	4.21E-02	1.47E-02
0.280	0.800	1.25E-01	4.40E-02	1.11E-02	3.62E-02	1.65E-02
0.280	1.000	1.15E-01	4.93E-02	1.11E-02	2.92E-02	1.91E-02
0.280	1.200	1.09E-01	5.39E-02	1.11E-02	2.42E-02	2.14E-02
0.280	1.400	1.06E-01	5.80E-02	1.11E-02	2.05E-02	2.34E-02
0.280	1.600	1.03E-01	6.15E-02	1.11E-02	1.76E-02	2.52E-02
0.280	1.800	1.01E-01	6.47E-02	1.11E-02	1.53E-02	2.68E-02
0.280	2.000	9.98E-02	6.74E-02	1.11E-02	1.35E-02	2.82E-02
0.280	2.500	9.78E-02	7.30E-02	1.11E-02	1.01E-02	3.10E-02
0.280	3.000	9.68E-02	7.72E-02	1.11E-02	7.91E-03	3.30E-02
0.280	4.000	9.59E-02	8.26E-02	1.11E-02	5.23E-03	3.58E-02
0.280	5.000	9.56E-02	8.60E-02	1.11E-02	3.75E-03	3.75E-02
0.280	7.000	9.54E-02	8.95E-02	1.11E-02	2.29E-03	3.92E-02
0.280	10.000	9.54E-02	9.18E-02	1.11E-02	1.39E-03	4.04E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M4-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.28E-01	8.74E-03	1.92E-03	1.00E-01	3.41E-03
0.280	0.280	2.17E-01	8.91E-03	1.92E-03	9.43E-02	3.49E-03
0.280	0.380	1.77E-01	9.68E-03	1.92E-03	7.43E-02	3.88E-03
0.280	0.480	1.53E-01	1.04E-02	1.92E-03	6.23E-02	4.24E-03
0.280	0.580	1.37E-01	1.11E-02	1.92E-03	5.42E-02	4.58E-03
0.280	0.680	1.25E-01	1.17E-02	1.92E-03	4.84E-02	4.90E-03
0.280	0.800	1.15E-01	1.25E-02	1.92E-03	4.31E-02	5.28E-03
0.280	1.000	1.03E-01	1.37E-02	1.92E-03	3.70E-02	5.87E-03
0.280	1.200	9.47E-02	1.48E-02	1.92E-03	3.27E-02	6.42E-03
0.280	1.400	8.87E-02	1.58E-02	1.92E-03	2.96E-02	6.93E-03
0.280	1.600	8.40E-02	1.68E-02	1.92E-03	2.71E-02	7.45E-03
0.280	1.800	8.04E-02	1.78E-02	1.92E-03	2.51E-02	7.94E-03
0.280	2.000	7.74E-02	1.88E-02	1.92E-03	2.34E-02	8.42E-03
0.280	2.500	7.18E-02	2.10E-02	1.92E-03	2.02E-02	9.52E-03
0.280	3.000	6.81E-02	2.31E-02	1.92E-03	1.79E-02	1.06E-02
0.280	4.000	6.35E-02	2.71E-02	1.92E-03	1.45E-02	1.26E-02
0.280	5.000	6.06E-02	3.04E-02	1.92E-03	1.21E-02	1.42E-02
0.280	7.000	5.77E-02	3.59E-02	1.92E-03	8.88E-03	1.70E-02
0.280	10.000	5.59E-02	4.18E-02	1.92E-03	5.86E-03	1.99E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M4-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.28E-01	8.90E-03	2.00E-03	1.00E-01	3.45E-03
0.280	0.280	2.17E-01	9.07E-03	2.00E-03	9.43E-02	3.54E-03
0.280	0.380	1.77E-01	9.86E-03	2.00E-03	7.43E-02	3.93E-03
0.280	0.480	1.53E-01	1.06E-02	2.00E-03	6.22E-02	4.31E-03
0.280	0.580	1.37E-01	1.13E-02	2.00E-03	5.42E-02	4.66E-03
0.280	0.680	1.26E-01	1.20E-02	2.00E-03	4.84E-02	5.00E-03
0.280	0.800	1.15E-01	1.28E-02	2.00E-03	4.31E-02	5.38E-03
0.280	1.000	1.03E-01	1.40E-02	2.00E-03	3.69E-02	5.99E-03
0.280	1.200	9.47E-02	1.51E-02	2.00E-03	3.27E-02	6.57E-03
0.280	1.400	8.87E-02	1.62E-02	2.00E-03	2.95E-02	7.11E-03
0.280	1.600	8.41E-02	1.73E-02	2.00E-03	2.70E-02	7.63E-03
0.280	1.800	8.04E-02	1.83E-02	2.00E-03	2.50E-02	8.14E-03
0.280	2.000	7.75E-02	1.93E-02	2.00E-03	2.33E-02	8.64E-03
0.280	2.500	7.19E-02	2.16E-02	2.00E-03	2.01E-02	9.82E-03
0.280	3.000	6.83E-02	2.38E-02	2.00E-03	1.77E-02	1.09E-02
0.280	4.000	6.37E-02	2.78E-02	2.00E-03	1.43E-02	1.29E-02
0.280	5.000	6.09E-02	3.12E-02	2.00E-03	1.19E-02	1.46E-02
0.280	7.000	5.81E-02	3.69E-02	2.00E-03	8.67E-03	1.74E-02
0.280	10.000	5.63E-02	4.27E-02	2.00E-03	5.67E-03	2.04E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M4-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.28E-01	1.01E-02	2.59E-03	9.98E-02	3.77E-03
0.280	0.280	2.17E-01	1.03E-02	2.59E-03	9.41E-02	3.87E-03
0.280	0.380	1.77E-01	1.13E-02	2.59E-03	7.41E-02	4.35E-03
0.280	0.480	1.53E-01	1.22E-02	2.59E-03	6.20E-02	4.82E-03
0.280	0.580	1.37E-01	1.31E-02	2.59E-03	5.39E-02	5.26E-03
0.280	0.680	1.26E-01	1.39E-02	2.59E-03	4.80E-02	5.68E-03
0.280	0.800	1.16E-01	1.49E-02	2.59E-03	4.28E-02	6.17E-03
0.280	1.000	1.04E-01	1.65E-02	2.59E-03	3.65E-02	6.95E-03
0.280	1.200	9.53E-02	1.79E-02	2.59E-03	3.21E-02	7.67E-03
0.280	1.400	8.94E-02	1.94E-02	2.59E-03	2.88E-02	8.39E-03
0.280	1.600	8.48E-02	2.07E-02	2.59E-03	2.63E-02	9.06E-03
0.280	1.800	8.13E-02	2.20E-02	2.59E-03	2.42E-02	9.71E-03
0.280	2.000	7.84E-02	2.33E-02	2.59E-03	2.24E-02	1.03E-02
0.280	2.500	7.33E-02	2.62E-02	2.59E-03	1.90E-02	1.18E-02
0.280	3.000	6.99E-02	2.89E-02	2.59E-03	1.65E-02	1.31E-02
0.280	4.000	6.58E-02	3.35E-02	2.59E-03	1.30E-02	1.55E-02
0.280	5.000	6.34E-02	3.74E-02	2.59E-03	1.05E-02	1.74E-02
0.280	7.000	6.13E-02	4.35E-02	2.59E-03	7.30E-03	2.05E-02
0.280	10.000	6.01E-02	4.91E-02	2.59E-03	4.53E-03	2.33E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M4-M2 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.280	0.260	2.29E-01	1.32E-02	4.20E-03	9.93E-02	4.51E-03
0.280	0.280	2.17E-01	1.35E-02	4.20E-03	9.36E-02	4.67E-03
0.280	0.380	1.78E-01	1.50E-02	4.20E-03	7.35E-02	5.40E-03
0.280	0.480	1.54E-01	1.64E-02	4.20E-03	6.13E-02	6.11E-03
0.280	0.580	1.38E-01	1.78E-02	4.20E-03	5.30E-02	6.79E-03
0.280	0.680	1.27E-01	1.92E-02	4.20E-03	4.70E-02	7.48E-03
